Identifiant site ,Hôte,Essence,Genre,espèce,Taxon fonge,Croisement,Phylum,Famille,Sequencage
7,OC2-10,Ostrya carpinifolia,Russula,amoenolens,Russula amoenolens,7 amoenolens Russula amoenolens,Basidiomycète,Russulaceae,a
7,OC2-4,Ostrya carpinifolia,Russula,amoenolens,Russula amoenolens,7 amoenolens Russula amoenolens,Basidiomycète,Russulaceae,a
7,OC2-5,Ostrya carpinifolia,Russula,amoenolens,Russula amoenolens,7 amoenolens Russula amoenolens,Basidiomycète,Russulaceae,a
14,PIN1a-1,Pinus spp.,Russula,amoenolens,Russula amoenolens,14 amoenolens Russula amoenolens,Basidiomycète,Russulaceae,a
14,PIN1a-2,Pinus spp.,Russula,amoenolens,Russula amoenolens,14 amoenolens Russula amoenolens,Basidiomycète,Russulaceae,a
15,FS6-1,Fagus sylvatica,Inocybe,amygdaliolens,Inocybe amygdaliolens,15 amygdaliolens Inocybe amygdaliolens,Basidiomycète,Inocybaceae,a
15,AU3-7,Arbutus unedo,Russula,anthracina,Russula anthracina,15 anthracina Russula anthracina,Basidiomycète,Russulaceae,a
15,FS6-14,Fagus sylvatica,Russula,anthracina,Russula anthracina,15 anthracina Russula anthracina,Basidiomycète,Russulaceae,a
15,FS6-9,Fagus sylvatica,Russula,anthracina,Russula anthracina,15 anthracina Russula anthracina,Basidiomycète,Russulaceae,a
15,QP1-2,Quercus pubescens,Russula,anthracina,Russula anthracina,15 anthracina Russula anthracina,Basidiomycète,Russulaceae,b
7,CJ1-6,Castanea sativa,Inocybe,assimilata,Inocybe assimilata,7 assimilata Inocybe assimilata,Basidiomycète,Inocybaceae,b
14,QP3-11,Quercus pubescens,Byssocorticium,atrovirens,Byssocorticium atrovirens,14 atrovirens Byssocorticium atrovirens,Basidiomycète,Byssicorticiaceae,b
14,QP3-5,Quercus pubescens,Byssocorticium,atrovirens,Byssocorticium atrovirens,14 atrovirens Byssocorticium atrovirens,Basidiomycète,Byssicorticiaceae,b
15,CS7-14,Castanea sativa,Mycena,aurantiomarginata,Mycena aurantiomarginata,15 aurantiomarginata Mycena aurantiomarginata,Basidiomycète,Mycenaneae,a
7,AU1-2,Arbutus unedo,Tuber,borchii,Tuber borchii,7 borchii Tuber borchii,Ascomycète,Tuberaceae,a
7,AU1-3,Arbutus unedo,Tuber,borchii,Tuber borchii,7 borchii Tuber borchii,Ascomycète,Tuberaceae,a
7,AU1-4,Arbutus unedo,Tuber,borchii,Tuber borchii,7 borchii Tuber borchii,Ascomycète,Tuberaceae,a
7,AU1-5,Arbutus unedo,Tuber,borchii,Tuber borchii,7 borchii Tuber borchii,Ascomycète,Tuberaceae,a
7,AU1-7,Arbutus unedo,Tuber,borchii,Tuber borchii,7 borchii Tuber borchii,Ascomycète,Tuberaceae,a
7,AU1-8,Arbutus unedo,Tuber,borchii,Tuber borchii,7 borchii Tuber borchii,Ascomycète,Tuberaceae,a
7,AU1-9,Arbutus unedo,Tuber,borchii,Tuber borchii,7 borchii Tuber borchii,Ascomycète,Tuberaceae,a
7,CISTE2-3,Cistus salviifolius,Tuber,borchii,Tuber borchii,7 borchii Tuber borchii,Ascomycète,Tuberaceae,a
14,CS5-1,Castanea sativa,Tuber,borchii,Tuber borchii,14 borchii Tuber borchii,Ascomycète,Tuberaceae,a
14,CS5-10,Castanea sativa,Tuber,borchii,Tuber borchii,14 borchii Tuber borchii,Ascomycète,Tuberaceae,a
14,CS5-11,Castanea sativa,Tuber,borchii,Tuber borchii,14 borchii Tuber borchii,Ascomycète,Tuberaceae,a
14,CS5-13,Castanea sativa,Tuber,borchii,Tuber borchii,14 borchii Tuber borchii,Ascomycète,Tuberaceae,a
14,CS5-2,Castanea sativa,Tuber,borchii,Tuber borchii,14 borchii Tuber borchii,Ascomycète,Tuberaceae,a
15,CS5-3,Castanea sativa,Tuber,borchii,Tuber borchii,15 borchii Tuber borchii,Ascomycète,Tuberaceae,a
14,CS5-6,Castanea sativa,Tuber,borchii,Tuber borchii,14 borchii Tuber borchii,Ascomycète,Tuberaceae,a
15,CS5-6,Castanea sativa,Tuber,borchii,Tuber borchii,15 borchii Tuber borchii,Ascomycète,Tuberaceae,a
14,CS5-7,Castanea sativa,Tuber,borchii,Tuber borchii,14 borchii Tuber borchii,Ascomycète,Tuberaceae,a
14,QI1-2,Quercus ilex,Otidea,bufonia,Otidea bufonia,14 bufonia Otidea bufonia,Ascomycète,Otideaceae,a
14,QI1-3,Quercus ilex,Otidea,bufonia,Otidea bufonia,14 bufonia Otidea bufonia,Ascomycète,Otideaceae,a
14,QI1-5,Quercus ilex,Otidea,bufonia,Otidea bufonia,14 bufonia Otidea bufonia,Ascomycète,Otideaceae,b
14,QI1-6,Quercus ilex,Otidea,bufonia,Otidea bufonia,14 bufonia Otidea bufonia,Ascomycète,Otideaceae,a
14,QI1-7,Quercus ilex,Otidea,bufonia,Otidea bufonia,14 bufonia Otidea bufonia,Ascomycète,Otideaceae,b
14,QI2-1,Quercus ilex,Otidea,bufonia,Otidea bufonia,14 bufonia Otidea bufonia,Ascomycète,Otideaceae,a
14,QI3-15,Quercus ilex,Otidea,bufonia,Otidea bufonia,14 bufonia Otidea bufonia,Ascomycète,Otideaceae,a
14,QI3-3,Quercus ilex,Otidea,bufonia,Otidea bufonia,14 bufonia Otidea bufonia,Ascomycète,Otideaceae,a
14,CS8-17,Castanea sativa,Inocybe,catalaunica,Inocybe catalaunica,14 catalaunica Inocybe catalaunica,Basidiomycète,Inocybaceae,b
15,AU2-2,Arbutus unedo,Russula,cessans,Russula cessans,15 cessans Russula cessans,Basidiomycète,Russulaceae,a
15,FS6-6,Fagus sylvatica,Russula,cessans,Russula cessans,15 cessans Russula cessans,Basidiomycète,Russulaceae,a
15,PIN4S-10,Pinus spp.,Russula,cessans,Russula cessans,15 cessans Russula cessans,Basidiomycète,Russulaceae,a
15,PIN4S-4,Pinus spp.,Russula,cessans,Russula cessans,15 cessans Russula cessans,Basidiomycète,Russulaceae,a
15,AU2-4,Arbutus unedo,Mycena,cfcapillaripes,Mycena cfcapillaripes,15 cfcapillaripes Mycena cfcapillaripes,Basidiomycète,Mycenaneae,a
15,QI2-10,Quercus ilex,Russula,cfglobispora,Russula cfglobispora,15 cfglobispora Russula cfglobispora,Basidiomycète,Russulaceae,a
15,QI2-12,Quercus ilex,Russula,cfglobispora,Russula cfglobispora,15 cfglobispora Russula cfglobispora,Basidiomycète,Russulaceae,a
15,QI2-2,Quercus ilex,Russula,cfglobispora,Russula cfglobispora,15 cfglobispora Russula cfglobispora,Basidiomycète,Russulaceae,b
15,QI2-6,Quercus ilex,Russula,cfglobispora,Russula cfglobispora,15 cfglobispora Russula cfglobispora,Basidiomycète,Russulaceae,a
15,QI2-8,Quercus ilex,Russula,cfglobispora,Russula cfglobispora,15 cfglobispora Russula cfglobispora,Basidiomycète,Russulaceae,a
14,CS7-7,Castanea sativa,Mycena,cf.aetites,Mycena cf.aetites,14 cf.aetites Mycena cf.aetites,Basidiomycète,Mycenaneae,a
15,CS6-1,Castanea sativa,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,15 chrysenteron Xerocomellus chrysenteron,Basidiomycète,Boletaceae,a
15,FS1-4,Fagus sylvatica,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,15 chrysenteron Xerocomellus chrysenteron,Basidiomycète,Boletaceae,a
15,QP7-1,Quercus pubescens,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,15 chrysenteron Xerocomellus chrysenteron,Basidiomycète,Boletaceae,a
15,QP7-10,Quercus pubescens,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,15 chrysenteron Xerocomellus chrysenteron,Basidiomycète,Boletaceae,a
15,QP7-11,Quercus pubescens,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,15 chrysenteron Xerocomellus chrysenteron,Basidiomycète,Boletaceae,a
15,QP7-7,Quercus pubescens,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,15 chrysenteron Xerocomellus chrysenteron,Basidiomycète,Boletaceae,a
15,QP7-9,Quercus pubescens,Xerocomellus,chrysenteron,Xerocomellus chrysenteron,15 chrysenteron Xerocomellus chrysenteron,Basidiomycète,Boletaceae,a
7,CS4-13,Castanea sativa,Lactarius,chrysorrheus,Lactarius chrysorrheus,7 chrysorrheus Lactarius chrysorrheus,Basidiomycète,Russulaceae,a
7,CS4-14,Castanea sativa,Lactarius,chrysorrheus,Lactarius chrysorrheus,7 chrysorrheus Lactarius chrysorrheus,Basidiomycète,Russulaceae,a
7,CS4-3,Castanea sativa,Lactarius,chrysorrheus,Lactarius chrysorrheus,7 chrysorrheus Lactarius chrysorrheus,Basidiomycète,Russulaceae,b
7,CS4-6,Castanea sativa,Lactarius,chrysorrheus,Lactarius chrysorrheus,7 chrysorrheus Lactarius chrysorrheus,Basidiomycète,Russulaceae,a
7,CS4-8,Castanea sativa,Lactarius,chrysorrheus,Lactarius chrysorrheus,7 chrysorrheus Lactarius chrysorrheus,Basidiomycète,Russulaceae,a
15,CS4-6,Castanea sativa,Inocybe,cincinnata,Inocybe cincinnata,15 cincinnata Inocybe cincinnata,Basidiomycète,Inocybaceae,a
14,CS3-20,Castanea sativa,Amanita,citrina,Amanita citrina,14 citrina Amanita citrina,Basidiomycète,Amanitaceae,a
14,CS3-22,Castanea sativa,Amanita,citrina,Amanita citrina,14 citrina Amanita citrina,Basidiomycète,Amanitaceae,a
14,CS3-14,Castanea sativa,Cortinarius,croceussl,Cortinarius croceussl,14 croceussl Cortinarius croceussl,Basidiomycète,Cortinariaceae,a
15,PIN2-21,Pinus spp.,Dermoloma,cuneifolium,Dermoloma cuneifolium,15 cuneifolium Dermoloma cuneifolium,Basidiomycète,Tricholomataceae,b
14,CS2-1,Castanea sativa,Russula,delicasl,Russula delicasl,14 delicasl Russula delicasl,Basidiomycète,Russulaceae,a
7,CS2-3,Castanea sativa,Russula,delicasl,Russula delicasl,7 delicasl Russula delicasl,Basidiomycète,Russulaceae,b
7,CS2-5,Castanea sativa,Russula,delicasl,Russula delicasl,7 delicasl Russula delicasl,Basidiomycète,Russulaceae,a
7,CS2-6,Castanea sativa,Russula,delicasl,Russula delicasl,7 delicasl Russula delicasl,Basidiomycète,Russulaceae,a
7,CS2-7,Castanea sativa,Russula,delicasl,Russula delicasl,7 delicasl Russula delicasl,Basidiomycète,Russulaceae,a
14,CS2-7,Castanea sativa,Russula,delicasl,Russula delicasl,14 delicasl Russula delicasl,Basidiomycète,Russulaceae,b
14,CS2-8,Castanea sativa,Russula,delicasl,Russula delicasl,14 delicasl Russula delicasl,Basidiomycète,Russulaceae,b
15,FS2-16,Fagus sylvatica,Russula,delicasl,Russula delicasl,15 delicasl Russula delicasl,Basidiomycète,Russulaceae,a
14,PIN1-2,Pinus spp.,Russula,delicasl,Russula delicasl,14 delicasl Russula delicasl,Basidiomycète,Russulaceae,a
14,PIN1-3,Pinus spp.,Russula,delicasl,Russula delicasl,14 delicasl Russula delicasl,Basidiomycète,Russulaceae,a
14,PIN1-5,Pinus spp.,Russula,delicasl,Russula delicasl,14 delicasl Russula delicasl,Basidiomycète,Russulaceae,a
14,PIN1-7,Pinus spp.,Russula,delicasl,Russula delicasl,14 delicasl Russula delicasl,Basidiomycète,Russulaceae,b
14,PIN2-1,Pinus spp.,Russula,delicasl,Russula delicasl,14 delicasl Russula delicasl,Basidiomycète,Russulaceae,a
14,PIN2-2,Pinus spp.,Russula,delicasl,Russula delicasl,14 delicasl Russula delicasl,Basidiomycète,Russulaceae,a
14,PIN2-3,Pinus spp.,Russula,delicasl,Russula delicasl,14 delicasl Russula delicasl,Basidiomycète,Russulaceae,a
14,PIN2-4,Pinus spp.,Russula,delicasl,Russula delicasl,14 delicasl Russula delicasl,Basidiomycète,Russulaceae,b
14,PIN2-5,Pinus spp.,Russula,delicasl,Russula delicasl,14 delicasl Russula delicasl,Basidiomycète,Russulaceae,a
14,PIN2-6,Pinus spp.,Russula,delicasl,Russula delicasl,14 delicasl Russula delicasl,Basidiomycète,Russulaceae,a
14,PIN2-7,Pinus spp.,Russula,delicasl,Russula delicasl,14 delicasl Russula delicasl,Basidiomycète,Russulaceae,a
15,PIN3-4,Pinus spp.,Russula,delicasl,Russula delicasl,15 delicasl Russula delicasl,Basidiomycète,Russulaceae,a
15,PIN3-7,Pinus spp.,Russula,delicasl,Russula delicasl,15 delicasl Russula delicasl,Basidiomycète,Russulaceae,a
7,QI1-6,Quercus ilex,Russula,delicasl,Russula delicasl,7 delicasl Russula delicasl,Basidiomycète,Russulaceae,b
15,QP3-1,Quercus pubescens,Russula,delicasl,Russula delicasl,15 delicasl Russula delicasl,Basidiomycète,Russulaceae,a
15,QP3-2,Quercus pubescens,Russula,delicasl,Russula delicasl,15 delicasl Russula delicasl,Basidiomycète,Russulaceae,b
15,QP3-4,Quercus pubescens,Russula,delicasl,Russula delicasl,15 delicasl Russula delicasl,Basidiomycète,Russulaceae,b
15,QP3-7,Quercus pubescens,Russula,delicasl,Russula delicasl,15 delicasl Russula delicasl,Basidiomycète,Russulaceae,b
15,QP3-9,Quercus pubescens,Russula,delicasl,Russula delicasl,15 delicasl Russula delicasl,Basidiomycète,Russulaceae,a
15,QP7-4,Quercus pubescens,Russula,delicasl,Russula delicasl,15 delicasl Russula delicasl,Basidiomycète,Russulaceae,a
15,PIN1-3,Pinus spp.,Lactarius,deliciosus,Lactarius deliciosus,15 deliciosus Lactarius deliciosus,Basidiomycète,Russulaceae,a
15,PIN1-5,Pinus spp.,Lactarius,deliciosus,Lactarius deliciosus,15 deliciosus Lactarius deliciosus,Basidiomycète,Russulaceae,a
15,PIN4-1,Pinus spp.,Lactarius,deliciosus,Lactarius deliciosus,15 deliciosus Lactarius deliciosus,Basidiomycète,Russulaceae,a
15,AU6-1,Arbutus unedo,Gymnopus,dryophilus,Gymnopus dryophilus,15 dryophilus Gymnopus dryophilus,Basidiomycète,Omphalotaceae,a
15,CS4-10,Castanea sativa,Hypholoma,fasciculare,Hypholoma fasciculare,15 fasciculare Hypholoma fasciculare,Basidiomycète,Strophariaceae,a
7,AC2-1,Alnus cordata,Phialocephala,fortinii,Phialocephala fortinii,7 fortinii Phialocephala fortinii,Ascomycète,Mollesiaceae,a
14,AU3-1,Arbutus unedo,Phialocephala,fortinii,Phialocephala fortinii,14 fortinii Phialocephala fortinii,Ascomycète,Mollesiaceae,a
14,AU3-10,Arbutus unedo,Phialocephala,fortinii,Phialocephala fortinii,14 fortinii Phialocephala fortinii,Ascomycète,Mollesiaceae,a
7,CJ1-2,Castanea sativa,Russula,fragilis,Russula fragilis,7 fragilis Russula fragilis,Basidiomycète,Russulaceae,a
7,CJ1-7,Castanea sativa,Russula,fragilis,Russula fragilis,7 fragilis Russula fragilis,Basidiomycète,Russulaceae,a
7,CS5-1,Castanea sativa,Russula,fragilis,Russula fragilis,7 fragilis Russula fragilis,Basidiomycète,Russulaceae,a
7,CS5-11,Castanea sativa,Russula,fragilis,Russula fragilis,7 fragilis Russula fragilis,Basidiomycète,Russulaceae,a
7,CS5-12,Castanea sativa,Russula,fragilis,Russula fragilis,7 fragilis Russula fragilis,Basidiomycète,Russulaceae,a
7,CS5-3,Castanea sativa,Russula,fragilis,Russula fragilis,7 fragilis Russula fragilis,Basidiomycète,Russulaceae,a
7,CS5-7,Castanea sativa,Russula,fragilis,Russula fragilis,7 fragilis Russula fragilis,Basidiomycète,Russulaceae,a
15,PIN7-8,Pinus spp.,Cortinarius,furvoumbrinus,Cortinarius furvoumbrinus,15 furvoumbrinus Cortinarius furvoumbrinus,Basidiomycète,Cortinariaceae,a
15,AU3-10,Arbutus unedo,Inocybe,geophylla,Inocybe geophylla,15 geophylla Inocybe geophylla,Basidiomycète,Inocybaceae,a
15,AU5-10,Arbutus unedo,Inocybe,geophylla,Inocybe geophylla,15 geophylla Inocybe geophylla,Basidiomycète,Inocybaceae,a
14,PINX-2,Pinus spp.,Inocybe,geophylla,Inocybe geophylla,14 geophylla Inocybe geophylla,Basidiomycète,Inocybaceae,a
14,PINX-3,Pinus spp.,Inocybe,geophylla,Inocybe geophylla,14 geophylla Inocybe geophylla,Basidiomycète,Inocybaceae,a
14,PINX-4,Pinus spp.,Inocybe,geophylla,Inocybe geophylla,14 geophylla Inocybe geophylla,Basidiomycète,Inocybaceae,a
14,PINX-6,Pinus spp.,Inocybe,geophylla,Inocybe geophylla,14 geophylla Inocybe geophylla,Basidiomycète,Inocybaceae,a
14,PINX-7,Pinus spp.,Inocybe,geophylla,Inocybe geophylla,14 geophylla Inocybe geophylla,Basidiomycète,Inocybaceae,a
15,FS2-10,Fagus sylvatica,Humaria,hemisphaerica,Humaria hemisphaerica,15 hemisphaerica Humaria hemisphaerica,Ascomycète,Pyronemataceae,a
14,QI3-4,Quercus ilex,Humaria,hemisphaerica,Humaria hemisphaerica,14 hemisphaerica Humaria hemisphaerica,Ascomycète,Pyronemataceae,a
15,QP1-8,Quercus pubescens,Peniophora,incarnata,Peniophora incarnata,15 incarnata Peniophora incarnata,Basidiomycète,Peniophoraceae,a
14,AU3-3,Arbutus unedo,Russula,integra,Russula integra,14 integra Russula integra,Basidiomycète,Russulaceae,a
14,AU3-4,Arbutus unedo,Russula,integra,Russula integra,14 integra Russula integra,Basidiomycète,Russulaceae,a
14,AU3-8,Arbutus unedo,Russula,integra,Russula integra,14 integra Russula integra,Basidiomycète,Russulaceae,a
7,CISTE2-7,Cistus salviifolius,Russula,integra,Russula integra,7 integra Russula integra,Basidiomycète,Russulaceae,a
7,CS1-5,Castanea sativa,Russula,integra,Russula integra,7 integra Russula integra,Basidiomycète,Russulaceae,b
7,QP2-6,Quercus pubescens,Russula,integra,Russula integra,7 integra Russula integra,Basidiomycète,Russulaceae,b
14,QP3-2,Quercus pubescens,Russula,lepida,Russula lepida,14 lepida Russula lepida,Basidiomycète,Russulaceae,a
14,CS4-2,Castanea sativa,Mycena,leptocephala,Mycena leptocephala,14 leptocephala Mycena leptocephala,Basidiomycète,Mycenaneae,a
15,PIN4-7,Pinus spp.,Suillus,luteus,Suillus luteus,15 luteus Suillus luteus,Basidiomycète,Boletaceae,b
7,AC1-3,Alnus cordata,Russula,nigrifacta,Russula nigrifacta,7 nigrifacta Russula nigrifacta,Basidiomycète,Russulaceae,a
7,CS6-2,Castanea sativa,Cortinarius,nolaneiformis,Cortinarius nolaneiformis,7 nolaneiformis Cortinarius nolaneiformis,Basidiomycète,Cortinariaceae,a
7,CS6-5,Castanea sativa,Cortinarius,nolaneiformis,Cortinarius nolaneiformis,7 nolaneiformis Cortinarius nolaneiformis,Basidiomycète,Cortinariaceae,a
7,CS6-6,Castanea sativa,Cortinarius,nolaneiformis,Cortinarius nolaneiformis,7 nolaneiformis Cortinarius nolaneiformis,Basidiomycète,Cortinariaceae,a
15,PIN7-5,Pinus spp.,Russula,olivacea,Russula olivacea,15 olivacea Russula olivacea,Basidiomycète,Russulaceae,a
7,AC4-3,Alnus cordata,Piloderma,olivaceum,Piloderma olivaceum,7 olivaceum Piloderma olivaceum,Ascomycète,Mollesiaceae,b
7,AU1-1,Arbutus unedo,Piloderma,olivaceum,Piloderma olivaceum,7 olivaceum Piloderma olivaceum,Ascomycète,Mollesiaceae,b
14,AU2-6,Arbutus unedo,Piloderma,olivaceum,Piloderma olivaceum,14 olivaceum Piloderma olivaceum,Ascomycète,Mollesiaceae,b
7,CS1-12,Castanea sativa,Piloderma,olivaceum,Piloderma olivaceum,7 olivaceum Piloderma olivaceum,Ascomycète,Mollesiaceae,b
14,CS3-17,Castanea sativa,Hydnum,ovoideisporum,Hydnum ovoideisporum,14 ovoideisporum Hydnum ovoideisporum,Basidiomycète,Hydnaceae,a
15,CS5-5,Castanea sativa,Hydnum,ovoideisporum,Hydnum ovoideisporum,15 ovoideisporum Hydnum ovoideisporum,Basidiomycète,Hydnaceae,a
15,CS5-8,Castanea sativa,Hydnum,ovoideisporum,Hydnum ovoideisporum,15 ovoideisporum Hydnum ovoideisporum,Basidiomycète,Hydnaceae,b
15,PIN2-14,Pinus spp.,Hydnum,ovoideisporum,Hydnum ovoideisporum,15 ovoideisporum Hydnum ovoideisporum,Basidiomycète,Hydnaceae,b
15,PIN2-15,Pinus spp.,Hydnum,ovoideisporum,Hydnum ovoideisporum,15 ovoideisporum Hydnum ovoideisporum,Basidiomycète,Hydnaceae,b
15,PIN2-16,Pinus spp.,Hydnum,ovoideisporum,Hydnum ovoideisporum,15 ovoideisporum Hydnum ovoideisporum,Basidiomycète,Hydnaceae,b
15,PIN2-17,Pinus spp.,Hydnum,ovoideisporum,Hydnum ovoideisporum,15 ovoideisporum Hydnum ovoideisporum,Basidiomycète,Hydnaceae,a
15,PIN2-5,Pinus spp.,Hydnum,ovoideisporum,Hydnum ovoideisporum,15 ovoideisporum Hydnum ovoideisporum,Basidiomycète,Hydnaceae,a
15,PIN2-7,Pinus spp.,Hydnum,ovoideisporum,Hydnum ovoideisporum,15 ovoideisporum Hydnum ovoideisporum,Basidiomycète,Hydnaceae,a
15,PIN2-9,Pinus spp.,Hydnum,ovoideisporum,Hydnum ovoideisporum,15 ovoideisporum Hydnum ovoideisporum,Basidiomycète,Hydnaceae,a
15,CS7-13,Castanea sativa,Golubevia,palescens,Golubevia palescens,15 palescens Golubevia palescens,Basidiomycète,Golubeviaceae,a
7,CJ1-1,Castanea sativa,Amanita,pantherina,Amanita pantherina,7 pantherina Amanita pantherina,Basidiomycète,Amanitaceae,a
14,CS3-1,Castanea sativa,Amanita,pantherina,Amanita pantherina,14 pantherina Amanita pantherina,Basidiomycète,Amanitaceae,a
14,CS3-15,Castanea sativa,Amanita,pantherina,Amanita pantherina,14 pantherina Amanita pantherina,Basidiomycète,Amanitaceae,a
14,CS7-12,Castanea sativa,Amanita,pantherina,Amanita pantherina,14 pantherina Amanita pantherina,Basidiomycète,Amanitaceae,a
15,FS1-14,Fagus sylvatica,Amanita,pantherina,Amanita pantherina,15 pantherina Amanita pantherina,Basidiomycète,Amanitaceae,a
15,FS1-6,Fagus sylvatica,Amanita,pantherina,Amanita pantherina,15 pantherina Amanita pantherina,Basidiomycète,Amanitaceae,a
15,FS1-8,Fagus sylvatica,Amanita,pantherina,Amanita pantherina,15 pantherina Amanita pantherina,Basidiomycète,Amanitaceae,a
15,FS6-15,Fagus sylvatica,Amanita,pantherina,Amanita pantherina,15 pantherina Amanita pantherina,Basidiomycète,Amanitaceae,a
15,FS6-16,Fagus sylvatica,Amanita,pantherina,Amanita pantherina,15 pantherina Amanita pantherina,Basidiomycète,Amanitaceae,a
15,FS6-2,Fagus sylvatica,Amanita,pantherina,Amanita pantherina,15 pantherina Amanita pantherina,Basidiomycète,Amanitaceae,a
15,FS6-3,Fagus sylvatica,Amanita,pantherina,Amanita pantherina,15 pantherina Amanita pantherina,Basidiomycète,Amanitaceae,a
15,PIN7-9,Pinus spp.,Amanita,pantherina,Amanita pantherina,15 pantherina Amanita pantherina,Basidiomycète,Amanitaceae,a
14,PIN3-9,Pinus spp.,Lactarius,piperatus,Lactarius piperatus,14 piperatus Lactarius piperatus,Basidiomycète,Russulaceae,a
15,CS6-3,Castanea sativa,Xerocomellus,porosporus,Xerocomellus porosporus,15 porosporus Xerocomellus porosporus,Basidiomycète,Boletaceae,a
15,CS6-5,Castanea sativa,Xerocomellus,porosporus,Xerocomellus porosporus,15 porosporus Xerocomellus porosporus,Basidiomycète,Boletaceae,a
15,CS6-6,Castanea sativa,Xerocomellus,porosporus,Xerocomellus porosporus,15 porosporus Xerocomellus porosporus,Basidiomycète,Boletaceae,a
15,CS6-8,Castanea sativa,Xerocomellus,porosporus,Xerocomellus porosporus,15 porosporus Xerocomellus porosporus,Basidiomycète,Boletaceae,a
15,QP4-4,Quercus pubescens,Tricholoma,portentosum,Tricholoma portentosum,15 portentosum Tricholoma portentosum,Ascomycète,Pyronemataceae,b
14,CS7-1,Castanea sativa,Saitozyma,potzolica,Saitozyma potzolica,14 potzolica Saitozyma potzolica,Basidiomycète,Trimorphomycetaceae,a
15,FS2-5,Fagus sylvatica,Saitozyma,potzolica,Saitozyma potzolica,15 potzolica Saitozyma potzolica,Basidiomycète,Trimorphomycetaceae,a
14,QI3-8,Quercus ilex,Saitozyma,potzolica,Saitozyma potzolica,14 potzolica Saitozyma potzolica,Basidiomycète,Trimorphomycetaceae,a
